#EXPORTTYPE:                 ,DATA ALL                                                     
#FILE:                       ,PYRO_MDF_30_900_N2_05Kmin_recal_02.ngb-ds3                   
#FORMAT:                     ,NETZSCH5                                                     
#FTYPE:                      ,ANSI                                                         
#IDENTITY:                   ,pyro_30_900_N2_5Kmin_MDF_02                                  
#DECIMAL:                    ,POINT                                                        
#SEPARATOR:                  ,COMMA                                                        
#MTYPE:                      ,DSC                                                          
#INSTRUMENT:                 ,NETZSCH STA 449F3                                            
#PROJECT:                    ,pyroboard                                                    
#DATE/TIME:                  ,06.02.2021 13:33:58 (UTC+1)                                  
#CORR. FILE:                 ,Correction for method PYROBOARD_30_900_N2_5Kmin_Recal_cooling
#TEMPCAL:                    ,06-01-2021 09:45                                             
#SENSITIVITY:                ,06-01-2021 10:08                                             
#LABORATORY:                 ,TUPO                                                         
#OPERATOR:                   ,LH                                                           
#REMARK:                     ,                                                             
#SAMPLE:                     ,pyro_30_900_N2_5Kmin_MDF_02                                  
#SAMPLE MASS /mg:            ,10.2924                                                      
#MATERIAL:                   ,MDF                                                          
#REFERENCE:                  ,-----                                                        
#REFERENCE MASS /mg:         ,0                                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                            
#SAMPLE CRUCIBLE MASS /mg:   ,132.8691                                                     
#REFERENCE CRUCIBLE MASS /mg:,135.12                                                       
#DSC RANGE /µV:              ,5000                                                         
#TG RANGE /mg:               ,35000                                                        
#TAU-R:                      ,---                                                          
#CORR. CODE:                 ,020                                                          
#EXO:                        ,-1                                                           
#RANGE:                      ,30°C/5.0(K/min)/900°C                                        
#SEGMENT:                    ,S2/4                                                         
#SEG. 2:                     ,30°C/5.0(K/min)/900°C                                        

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
 30.64300,  5.96000, 6.005892e-03, 99.67733,50.00000,20.00000,6.06008
 30.65400,  5.97000, 6.128265e-03, 99.67627,50.00000,20.00000,6.06003
 30.66400,  5.98000, 6.434116e-03, 99.67189,50.00000,20.00000,6.05998
 30.67700,  5.99000, 6.446413e-03, 99.66645,50.00000,20.00000,6.05992
 30.68600,  6.00000, 6.715570e-03, 99.66538,50.00000,20.00000,6.05988
 30.69900,  6.01000, 6.960288e-03, 99.66431,50.00000,20.00000,6.05982
 30.71300,  6.02000, 7.094922e-03, 99.65790,50.00000,20.00000,6.05975
 30.72500,  6.03000, 7.254013e-03, 99.66111,50.00000,20.00000,6.05969
 30.73700,  6.04000, 7.437574e-03, 99.64809,50.00000,20.00000,6.05964
 30.75200,  6.05000, 7.670087e-03, 99.65353,50.00000,20.00000,6.05957
 30.76300,  6.06000, 7.829183e-03, 99.64585,50.00000,20.00000,6.05952
 30.77800,  6.07000, 8.049472e-03, 99.64372,50.00000,20.00000,6.05945
 30.79400,  6.08000, 8.306473e-03, 99.64148,50.00000,20.00000,6.05937
 30.80900,  6.09000, 8.722510e-03, 99.63828,50.00000,20.00000,6.05930
 30.82300,  6.10000, 8.979512e-03, 99.63604,50.00000,20.00000,6.05923
 30.83900,  6.11000, 9.199832e-03, 99.63284,50.00000,20.00000,6.05916
 30.85200,  6.12000, 9.432369e-03, 99.62846,50.00000,20.00000,6.05910
 30.86800,  6.13000, 9.823977e-03, 99.62739,50.00000,20.00000,6.05902
 30.88600,  6.14000, 1.009327e-02, 99.63177,50.00000,20.00000,6.05894
 30.90600,  6.15000, 1.025247e-02, 99.63934,50.00000,20.00000,6.05884
 30.92400,  6.16000, 1.054625e-02, 99.63721,50.00000,20.00000,6.05876
 30.94100,  6.17000, 1.102354e-02, 99.63721,50.00000,20.00000,6.05868
 30.95700,  6.18000, 1.131732e-02, 99.63711,50.00000,20.00000,6.05860
 30.97800,  6.19000, 1.162338e-02, 99.63614,50.00000,20.00000,6.05851
 30.99200,  6.20000, 1.196609e-02, 99.62419,50.00000,20.00000,6.05844
 31.01600,  6.21000, 1.227220e-02, 99.62856,50.00000,20.00000,6.05833
 31.03300,  6.22000, 1.261497e-02, 99.61214,50.00000,20.00000,6.05825
 31.05600,  6.23000, 1.298227e-02, 99.62739,50.00000,20.00000,6.05814
 31.07500,  6.24000, 1.331283e-02, 99.61331,50.00000,20.00000,6.05805
 31.09600,  6.25000, 1.371684e-02, 99.61768,50.00000,20.00000,6.05795
 31.11600,  6.26000, 1.410862e-02, 99.61768,50.00000,20.00000,6.05786
 31.13800,  6.27000, 1.450044e-02, 99.61331,50.00000,20.00000,6.05775
 31.16000,  6.28000, 1.491674e-02, 99.61865,50.00000,20.00000,6.05765
 31.18400,  6.29000, 1.533308e-02, 99.60573,50.00000,20.00000,6.05754
 31.20600,  6.30000, 1.568822e-02, 99.61768,50.00000,20.00000,6.05743
 31.23100,  6.31000, 1.606789e-02, 99.60456,50.00000,20.00000,6.05732
 31.25700,  6.32000, 1.663115e-02, 99.61972,50.00000,20.00000,6.05720
 31.28400,  6.33000, 1.707207e-02, 99.60787,50.00000,20.00000,6.05707
 31.30600,  6.34000, 1.743951e-02, 99.61875,50.00000,20.00000,6.05696
 31.33400,  6.35000, 1.780704e-02, 99.60893,50.00000,20.00000,6.05683
 31.35800,  6.36000, 1.829692e-02, 99.61224,50.00000,20.00000,6.05672
 31.38400,  6.37000, 1.872566e-02, 99.60573,50.00000,20.00000,6.05660
 31.40800,  6.38000, 1.908094e-02, 99.60787,50.00000,20.00000,6.05649
 31.43800,  6.39000, 1.965664e-02, 99.60787,50.00000,20.00000,6.05634
 31.46600,  6.40000, 2.019562e-02, 99.60680,50.00000,20.00000,6.05621
 31.49400,  6.41000, 2.071014e-02, 99.60349,50.00000,20.00000,6.05608
 31.52100,  6.42000, 2.116347e-02, 99.60136,50.00000,20.00000,6.05595
 31.55200,  6.43000, 2.158016e-02, 99.59591,50.00000,20.00000,6.05581
 31.58400,  6.44000, 2.216825e-02, 99.59154,50.00000,20.00000,6.05566
 31.61000,  6.45000, 2.274404e-02, 99.59805,50.00000,20.00000,6.05554
 31.64000,  6.46000, 2.328319e-02, 99.59591,50.00000,20.00000,6.05539
 31.67100,  6.47000, 2.379790e-02, 99.59708,50.00000,20.00000,6.05525
 31.70300,  6.48000, 2.431266e-02, 99.60456,50.00000,20.00000,6.05510
 31.73700,  6.49000, 2.482748e-02, 99.60349,50.00000,20.00000,6.05494
 31.76800,  6.50000, 2.539124e-02, 99.60893,50.00000,20.00000,6.05479
 31.80400,  6.51000, 2.594288e-02, 99.60680,50.00000,20.00000,6.05462
 31.83600,  6.52000, 2.650672e-02, 99.59912,50.00000,20.00000,6.05447
 31.86600,  6.53000, 2.705829e-02, 99.60456,50.00000,20.00000,6.05433
 31.90400,  6.54000, 2.768353e-02, 99.60019,50.00000,20.00000,6.05415
 31.93900,  6.55000, 2.825977e-02, 99.60563,50.00000,20.00000,6.05399
 31.97500,  6.56000, 2.871361e-02, 99.60670,50.00000,20.00000,6.05382
 32.01100,  6.57000, 2.925319e-02, 99.60242,50.00000,20.00000,6.05365
 32.04800,  6.58000, 3.000099e-02, 99.61000,50.00000,20.00000,6.05348
 32.08400,  6.59000, 3.066310e-02, 99.60573,50.00000,20.00000,6.05331
 32.11900,  6.60000, 3.123949e-02, 99.61437,50.00000,20.00000,6.05314
 32.15900,  6.61000, 3.176706e-02, 99.60670,50.00000,20.00000,6.05295
 32.19500,  6.62000, 3.235579e-02, 99.61331,50.00000,20.00000,6.05278
 32.23500,  6.63000, 3.300589e-02, 99.61651,50.00000,20.00000,6.05260
 32.27300,  6.64000, 3.365598e-02, 99.61758,50.00000,20.00000,6.05242
 32.31200,  6.65000, 3.431838e-02, 99.61982,50.00000,20.00000,6.05223
 32.35500,  6.66000, 3.493194e-02, 99.61982,50.00000,20.00000,6.05203
 32.39500,  6.67000, 3.559445e-02, 99.61982,50.00000,20.00000,6.05184
 32.43300,  6.68000, 3.626919e-02, 99.62088,50.00000,20.00000,6.05167
 32.47800,  6.69000, 3.685843e-02, 99.62088,50.00000,20.00000,6.05145
 32.52300,  6.70000, 3.754571e-02, 99.62409,50.00000,20.00000,6.05124
 32.56400,  6.71000, 3.818392e-02, 99.62963,50.00000,20.00000,6.05105
 32.60800,  6.72000, 3.884676e-02, 99.62739,50.00000,20.00000,6.05084
 32.65000,  6.73000, 3.954634e-02, 99.63828,50.00000,20.00000,6.05064
 32.69500,  6.74000, 4.023381e-02, 99.62963,50.00000,20.00000,6.05043
 32.74000,  6.75000, 4.105609e-02, 99.64158,50.00000,20.00000,6.05022
 32.78400,  6.76000, 4.165786e-02, 99.63828,50.00000,20.00000,6.05001
 32.83100,  6.77000, 4.229653e-02, 99.63944,50.00000,20.00000,6.04979
 32.87600,  6.78000, 4.302095e-02, 99.64799,50.00000,20.00000,6.04958
 32.92400,  6.79000, 4.368425e-02, 99.64265,50.00000,20.00000,6.04935
 32.97400,  6.80000, 4.444571e-02, 99.65246,50.00000,20.00000,6.04912
 33.02200,  6.81000, 4.515813e-02, 99.64702,50.00000,20.00000,6.04889
 33.06900,  6.82000, 4.589508e-02, 99.65236,50.00000,20.00000,6.04867
 33.11700,  6.83000, 4.642379e-02, 99.65023,50.00000,20.00000,6.04845
 33.16600,  6.84000, 4.722219e-02, 99.65460,50.00000,20.00000,6.04822
 33.21500,  6.85000, 4.784907e-02, 99.66111,50.00000,20.00000,6.04798
 33.26700,  6.86000, 4.861094e-02, 99.66441,50.00000,20.00000,6.04774
